"2011 census frozen ward","mnemonic","Total","Male","Female"
"Lakenham","E36004493",205,110,95
"Mancroft","E36004494",475,300,175
"Mile Cross","E36004495",355,230,125
"Nelson","E36004496",75,45,30
"Sewell","E36004497",195,110,85
"Thorpe Hamlet","E36004498",290,205,85
"Town Close","E36004499",175,115,60
"University","E36004500",110,55,50
"Wensum","E36004501",265,155,110
"Abbey","E36004502",40,25,15
"Beck Vale","E36004503",30,15,15
"Bressingham and Burston","E36004504",25,20,5
"Brooke","E36004505",15,5,10
"Bunwell","E36004506",10,5,5
"Chedgrave and Thurton","E36004507",35,25,10
"Cringleford","E36004508",50,30,20
"Cromwells","E36004509",25,10,15
"Dickleburgh","E36004510",20,10,10
"Diss","E36004511",145,85,60
"Ditchingham and Broome","E36004512",20,10,10
"Earsham","E36004513",15,10,10
"Easton","E36004514",15,10,5
"Forncett","E36004515",10,5,5
"Gillingham","E36004516",30,20,10
"Harleston","E36004517",55,25,30
"Hempnall","E36004518",20,15,5
"Hethersett","E36004519",45,20,25
"Hingham and Deopham","E36004520",20,15,10
"Loddon","E36004521",35,25,10
"Mulbarton","E36004522",25,15,10
"New Costessey","E36004523",35,25,10
"Newton Flotman","E36004524",20,10,10
"Northfields","E36004525",20,15,5
"Old Costessey","E36004526",115,60,55
"Poringland with the Framinghams","E36004527",50,25,25
"Rockland","E36004528",15,10,5
"Roydon","E36004529",10,5,10
"Rustens","E36004530",40,20,15
"Scole","E36004531",15,10,5
"Stoke Holy Cross","E36004532",15,5,10
"Stratton","E36004533",55,30,25
"Tasburgh","E36004534",10,0,5
"Thurlton","E36004535",30,15,15
"Town","E36004536",25,15,10
"Wicklewood","E36004537",10,5,5
"Alton","E36005484",30,20,10
"Berners","E36005485",30,20,15
"Boxford","E36005486",15,10,5
"Brett Vale","E36005487",15,10,10
"Brook","E36005488",25,15,10
"Bures St Mary","E36005489",15,5,10
"Chadacre","E36005490",10,5,5
"Dodnash","E36005491",15,5,10
"Glemsford and Stanstead","E36005492",40,15,25
"Great Cornard North","E36005493",80,45,35
"Great Cornard South","E36005494",70,30,35
"Hadleigh North","E36005495",60,35,25
"Hadleigh South","E36005496",20,10,10
"Holbrook","E36005497",5,5,0
"Lavenham","E36005498",15,5,5
"Leavenheath","E36005499",15,10,5
"Long Melford","E36005500",55,25,30
"Lower Brett","E36005501",15,5,10
"Mid Samford","E36005502",15,10,5
"Nayland","E36005503",10,5,5
"North Cosford","E36005504",20,10,10
"Pinewood","E36005505",45,25,15
"South Cosford","E36005506",5,0,5
"Sudbury East","E36005507",75,40,35
"Sudbury North","E36005508",55,30,25
"Sudbury South","E36005509",105,60,45
"Waldingfield","E36005510",30,15,15
"All Saints","E36005511",40,25,15
"Brandon East","E36005512",75,40,35
"Brandon West","E36005513",40,15,25
"Eriswell and The Rows","E36005514",50,25,25
"Exning","E36005515",10,5,5
"Great Heath","E36005516",60,25,30
"Iceni","E36005517",10,0,5
"Lakenheath","E36005518",40,20,20
"Manor","E36005519",10,0,5
"Market","E36005520",35,20,15
"Red Lodge","E36005521",25,10,15
"Severals","E36005522",75,45,30
"South","E36005523",10,5,5
"St Mary's","E36005524",65,35,30
"Alexandra","E36005525",395,275,120
"Bixley","E36005526",45,30,15
"Bridge","E36005527",290,175,115
"Castle Hill","E36005528",50,35,20
"Gainsborough","E36005529",230,130,100
"Gipping","E36005530",310,195,115
"Holywells","E36005531",135,90,45
"Priory Heath","E36005532",200,120,75
"Rushmere","E36005533",100,55,45
"Sprites","E36005534",115,75,40
"St John's","E36005535",110,60,50
"St Margaret's","E36005536",120,65,55
"Stoke Park","E36005537",230,125,105
"Westgate","E36005538",310,185,125
"Whitehouse","E36005539",190,110,80
"Whitton","E36005540",165,95,70
"Bacton and Old Newton","E36005541",15,5,10
"Badwell Ash","E36005542",10,5,5
"Barking and Somersham","E36005543",15,5,5
"Bramford and Blakenham","E36005544",40,20,20
"Claydon and Barham","E36005545",30,15,15
"Debenham","E36005546",10,5,5
"Elmswell and Norton","E36005547",55,30,25
"Eye","E36005548",25,15,10
"Fressingfield","E36005549",20,10,10
"Gislingham","E36005550",25,10,15
"Haughley and Wetherden","E36005551",25,15,15
"Helmingham and Coddenham","E36005552",10,5,5
"Hoxne","E36005553",10,5,5
"Mendlesham","E36005554",20,10,10
"Needham Market","E36005555",35,20,15
"Onehouse","E36005556",15,10,5
"Palgrave","E36005557",20,10,10
"Rattlesden","E36005558",20,10,10
"Rickinghall and Walsham","E36005559",30,15,15
"Ringshall","E36005560",20,10,10
"Stowmarket Central","E36005561",75,40,35
"Stowmarket North","E36005562",110,60,50
"Stowmarket South","E36005563",85,40,50
"Stowupland","E36005564",30,10,15
"Stradbroke and Laxfield","E36005565",25,15,10
"The Stonhams","E36005566",10,5,5
"Thurston and Hessett","E36005567",20,15,5
"Wetheringsett","E36005568",20,10,10
"Woolpit","E36005569",20,10,10
"Worlingworth","E36005570",15,10,5
"Abbeygate","E36005571",60,35,25
"Bardwell","E36005572",20,10,10
"Barningham","E36005573",25,10,15
"Barrow","E36005574",15,10,5
"Cavendish","E36005575",15,5,10
"Chedburgh","E36005576",15,10,5
"Clare","E36005577",25,15,10
"Eastgate","E36005578",55,40,20
"Fornham","E36005579",5,5,0
"Great Barton","E36005580",5,0,0
"Haverhill East","E36005581",155,95,60
"Haverhill North","E36005582",150,90,60
"Haverhill South","E36005583",155,95,65
"Haverhill West","E36005584",60,35,30
"Horringer and Whelnetham","E36005585",15,10,5
"Hundon","E36005586",20,10,10
"Ixworth","E36005587",15,5,5
"Kedington","E36005588",15,5,10
"Minden","E36005589",80,40,40
"Moreton Hall","E36005590",45,25,20
"Northgate","E36005591",50,30,20
"Pakenham","E36005592",15,10,0
"Risby","E36005593",10,5,5
"Risbygate","E36005594",125,80,45
"Rougham","E36005595",20,15,10
"Southgate","E36005596",40,25,20
"St Olaves","E36005597",85,45,35
"Stanton","E36005598",15,5,10
"Westgate","E36005599",25,15,10
"Wickhambrook","E36005600",20,10,10
"Withersfield","E36005601",10,5,5
"Aldeburgh","E36005602",10,5,10
"Earl Soham","E36005603",10,5,10
"Farlingaye","E36005604",20,10,10
"Felixstowe East","E36005605",15,10,5
"Felixstowe North","E36005606",50,30,20
"Felixstowe South","E36005607",80,50,30
"Felixstowe South East","E36005608",25,15,10
"Felixstowe West","E36005609",115,65,50
"Framlingham","E36005610",30,15,10
"Grundisburgh","E36005611",10,5,5
"Hacheston","E36005612",5,0,5
"Hollesley with Eyke","E36005613",15,10,5
"Kesgrave East","E36005614",60,25,35
"Kesgrave West","E36005615",15,10,5
"Kyson","E36005616",25,20,10
"Leiston","E36005617",75,45,30
"Martlesham","E36005618",25,20,10
"Melton and Ufford","E36005619",30,15,15
"Nacton","E36005620",25,15,15
"Orford and Tunstall","E36005621",10,5,5
"Otley","E36005622",5,5,0
"Peasenhall","E36005623",20,10,5
"Rendlesham","E36005624",25,15,10
"Riverside","E36005625",5,0,0
"Rushmere St Andrew","E36005626",30,20,10
"Saxmundham","E36005627",65,40,25
"Seckford","E36005628",20,15,5
"Snape","E36005629",10,5,5
"Sutton","E36005630",15,5,10
"Trimleys with Kirton","E36005631",40,25,15
"Walberswick and Wenhaston","E36005632",15,5,5
"Wickham Market","E36005633",25,15,10
"Witnesham","E36005634",15,5,5
"Yoxford","E36005635",15,10,5
"Beccles North","E36005636",80,45,40
"Beccles South","E36005637",80,45,35
"Blything","E36005638",20,10,10
"Bungay","E36005639",75,35,35
"Carlton","E36005640",65,35,30
"Carlton Colville","E36005641",85,40,45
"Gunton and Corton","E36005642",30,20,10
"Halesworth","E36005643",55,30,25
"Harbour","E36005644",605,360,245
"Kessingland","E36005645",75,30,40
"Kirkley","E36005646",355,220,135
"Lothingland","E36005647",20,5,15
"Normanston","E36005648",230,120,105
"Oulton","E36005649",70,40,30
"Oulton Broad","E36005650",50,25,25
"Pakefield","E36005651",85,35,50
"Southwold and Reydon","E36005652",25,15,10
"St Margaret's","E36005653",165,95,70
"The Saints","E36005654",15,5,10
"Wainford","E36005655",20,10,10
"Whitton","E36005656",150,75,70
"Worlingham","E36005657",45,20,25
"Wrentham","E36005658",30,20,10
"Belsize","E36007157",160,75,85
"Bloomsbury","E36007158",160,110,45
"Camden Town with Primrose Hill","E36007159",270,185,85
"Cantelowes","E36007160",270,160,110
"Fortune Green","E36007161",205,135,75
"Frognal and Fitzjohns","E36007162",85,45,40
"Gospel Oak","E36007163",230,130,100
"Hampstead Town","E36007164",55,35,20
"Haverstock","E36007165",240,120,120
"Highgate","E36007166",210,120,90
"Holborn and Covent Garden","E36007167",270,150,120
"Kentish Town","E36007168",250,145,105
"Kilburn","E36007169",330,185,145
"King's Cross","E36007170",270,150,120
"Regent's Park","E36007171",280,160,125
"St Pancras and Somers Town","E36007172",420,225,195
"Swiss Cottage","E36007173",120,60,55
"West Hampstead","E36007174",235,130,105
"Aldersgate,Cheap","E36007051",5,5,5
"Aldgate,Billingsgate,Bishopsgate,Bridge,Broad Street,Candlewick,Corn","E36007052",35,20,15
"Bassishaw,Coleman Street,Cripplegate","E36007053",25,15,10
"Bread Street,Castle Baynard,Cordwainer,Dowgate,Farringdon Within,Far","E36007054",10,5,5
"Brownswood","E36007260",340,165,170
"Cazenove","E36007261",305,175,130
"Chatham","E36007262",485,280,210
"Clissold","E36007263",260,145,115
"Dalston","E36007264",485,295,190
"De Beauvoir","E36007265",320,175,145
"Hackney Central","E36007266",400,230,170
"Hackney Downs","E36007267",385,215,170
"Haggerston","E36007268",335,170,165
"Hoxton","E36007269",360,190,175
"King's Park","E36007270",425,255,170
"Leabridge","E36007271",455,250,205
"Lordship","E36007272",260,145,115
"New River","E36007273",335,205,130
"Queensbridge","E36007274",350,205,145
"Springfield","E36007275",290,160,135
"Stoke Newington Central","E36007276",335,200,130
"Victoria","E36007277",475,295,180
"Wick","E36007278",405,210,195
"Addison","E36007279",355,195,160
"Askew","E36007280",480,270,205
"Avonmore and Brook Green","E36007281",280,155,125
"College Park and Old Oak","E36007282",300,170,130
"Fulham Broadway","E36007283",265,150,115
"Fulham Reach","E36007284",230,115,110
"Hammersmith Broadway","E36007285",350,190,160
"Munster","E36007286",140,80,60
"North End","E36007287",300,150,150
"Palace Riverside","E36007288",60,35,30
"Parsons Green and Walham","E36007289",140,80,60
"Ravenscourt Park","E36007290",225,110,110
"Sands End","E36007291",305,150,155
"Shepherd's Bush Green","E36007292",535,345,190
"Town","E36007293",220,115,105
"Wormholt and White City","E36007294",530,250,280
"Alexandra","E36007295",115,70,45
"Bounds Green","E36007296",350,195,155
"Bruce Grove","E36007297",530,330,195
"Crouch End","E36007298",125,75,50
"Fortis Green","E36007299",130,65,70
"Harringay","E36007300",365,230,135
"Highgate","E36007301",150,90,60
"Hornsey","E36007302",360,230,130
"Muswell Hill","E36007303",100,65,35
"Noel Park","E36007304",405,220,190
"Northumberland Park","E36007305",690,420,270
"Seven Sisters","E36007306",415,250,165
"St Ann's","E36007307",365,215,150
"Stroud Green","E36007308",250,160,90
"Tottenham Green","E36007309",490,270,215
"Tottenham Hale","E36007310",540,315,225
"West Green","E36007311",375,195,175
"White Hart Lane","E36007312",400,195,205
"Woodside","E36007313",330,175,150
"Barnsbury","E36007395",280,160,120
"Bunhill","E36007396",375,200,175
"Caledonian","E36007397",390,205,185
"Canonbury","E36007398",315,155,160
"Clerkenwell","E36007399",295,140,155
"Finsbury Park","E36007400",520,300,220
"Highbury East","E36007401",240,150,90
"Highbury West","E36007402",395,230,160
"Hillrise","E36007403",330,175,155
"Holloway","E36007404",445,240,200
"Junction","E36007405",345,195,150
"Mildmay","E36007406",315,170,145
"St George's","E36007407",360,225,130
"St Mary's","E36007408",275,140,135
"St Peter's","E36007409",290,160,135
"Tollington","E36007410",425,245,180
"Abingdon","E36007411",115,70,45
"Brompton","E36007412",65,35,35
"Campden","E36007413",30,15,15
"Colville","E36007414",165,90,75
"Courtfield","E36007415",100,60,45
"Cremorne","E36007416",205,105,100
"Earl's Court","E36007417",195,120,75
"Golborne","E36007418",265,170,95
"Hans Town","E36007419",60,30,35
"Holland","E36007420",105,50,55
"Norland","E36007421",140,85,55
"Notting Barns","E36007422",190,105,85
"Pembridge","E36007423",105,45,55
"Queen's Gate","E36007424",50,30,20
"Redcliffe","E36007425",135,85,50
"Royal Hospital","E36007426",85,55,30
"St Charles","E36007427",195,100,90
"Stanley","E36007428",75,40,35
"Bishop's","E36007445",240,135,105
"Brixton Hill","E36007446",385,215,170
"Clapham Common","E36007447",240,145,100
"Clapham Town","E36007448",325,165,160
"Coldharbour","E36007449",720,425,295
"Ferndale","E36007450",370,210,165
"Gipsy Hill","E36007451",485,270,220
"Herne Hill","E36007452",415,225,190
"Knight's Hill","E36007453",505,280,225
"Larkhall","E36007454",530,290,240
"Oval","E36007455",425,260,165
"Prince's","E36007456",465,250,215
"St Leonard's","E36007457",410,230,180
"Stockwell","E36007458",445,250,195
"Streatham Hill","E36007459",370,195,175
"Streatham South","E36007460",340,195,145
"Streatham Wells","E36007461",380,220,155
"Thornton","E36007462",295,170,125
"Thurlow Park","E36007463",305,150,150
"Tulse Hill","E36007464",535,315,225
"Vassall","E36007465",535,315,220
"Bellingham","E36007466",560,330,230
"Blackheath","E36007467",290,170,115
"Brockley","E36007468",470,255,215
"Catford South","E36007469",335,195,140
"Crofton Park","E36007470",305,160,145
"Downham","E36007471",440,225,215
"Evelyn","E36007472",605,325,280
"Forest Hill","E36007473",420,255,160
"Grove Park","E36007474",345,190,155
"Ladywell","E36007475",315,170,145
"Lee Green","E36007476",255,135,120
"Lewisham Central","E36007477",650,360,290
"New Cross","E36007478",620,355,265
"Perry Vale","E36007479",435,225,210
"Rushey Green","E36007480",580,325,255
"Sydenham","E36007481",435,230,205
"Telegraph Hill","E36007482",430,225,200
"Whitefoot","E36007483",510,290,220
"Beckton","E36007504",360,170,190
"Boleyn","E36007505",325,190,140
"Canning Town North","E36007506",525,275,250
"Canning Town South","E36007507",435,250,190
"Custom House","E36007508",370,200,170
"East Ham Central","E36007509",315,160,155
"East Ham North","E36007510",225,110,110
"East Ham South","E36007511",350,165,185
"Forest Gate North","E36007512",350,205,145
"Forest Gate South","E36007513",495,310,185
"Green Street East","E36007514",300,165,135
"Green Street West","E36007515",280,160,120
"Little Ilford","E36007516",405,225,180
"Manor Park","E36007517",340,190,145
"Plaistow North","E36007518",380,205,175
"Plaistow South","E36007519",365,200,165
"Royal Docks","E36007520",290,165,125
"Stratford and New Town","E36007521",570,290,280
"Wall End","E36007522",300,155,145
"West Ham","E36007523",400,230,175
"Brunswick Park","E36007563",430,220,210
"Camberwell Green","E36007564",600,305,295
"Cathedrals","E36007565",485,285,200
"Chaucer","E36007566",385,235,150
"College","E36007567",280,130,145
"East Dulwich","E36007568",245,140,105
"East Walworth","E36007569",400,200,200
"Faraday","E36007570",460,265,195
"Grange","E36007571",565,305,265
"Livesey","E36007572",560,300,260
"Newington","E36007573",490,250,240
"Nunhead","E36007574",470,265,205
"Peckham","E36007575",605,315,295
"Peckham Rye","E36007576",310,170,135
"Riverside","E36007577",400,205,195
"Rotherhithe","E36007578",370,160,215
"South Bermondsey","E36007579",465,245,220
"South Camberwell","E36007580",305,160,145
"Surrey Docks","E36007581",270,130,140
"The Lane","E36007582",500,265,235
"Village","E36007583",120,65,55
"Bethnal Green North","E36007602",385,215,170
"Bethnal Green South","E36007603",480,265,215
"Blackwall and Cubitt Town","E36007604",505,255,245
"Bow East","E36007605",485,255,230
"Bow West","E36007606",340,205,135
"Bromley-by-Bow","E36007607",605,320,285
"East India and Lansbury","E36007608",650,375,275
"Limehouse","E36007609",605,320,285
"Mile End and Globe Town","E36007610",370,180,190
"Mile End East","E36007611",530,300,230
"Millwall","E36007612",500,255,245
"Shadwell","E36007613",470,250,220
"Spitalfields and Banglatown","E36007614",410,250,160
"St Dunstan's and Stepney Green","E36007615",625,345,280
"St Katharine's and Wapping","E36007616",265,145,125
"Weavers","E36007617",355,215,140
"Whitechapel","E36007618",435,245,190
"Balham","E36007639",120,75,45
"Bedford","E36007640",190,115,75
"Earlsfield","E36007641",195,110,85
"East Putney","E36007642",160,80,80
"Fairfield","E36007643",200,115,85
"Furzedown","E36007644",335,190,145
"Graveney","E36007645",310,170,140
"Latchmere","E36007646",445,240,205
"Nightingale","E36007647",155,85,70
"Northcote","E36007648",120,85,35
"Queenstown","E36007649",415,225,185
"Roehampton and Putney Heath","E36007650",360,185,175
"Shaftesbury","E36007651",220,125,95
"Southfields","E36007652",200,105,90
"St Mary's Park","E36007653",275,135,140
"Thamesfield","E36007654",125,70,60
"Tooting","E36007655",295,170,120
"Wandsworth Common","E36007656",170,100,70
"West Hill","E36007657",265,145,125
"West Putney","E36007658",210,100,110
"Abbey Road","E36007659",75,40,35
"Bayswater","E36007660",140,80,60
"Bryanston and Dorset Square","E36007661",140,80,60
"Church Street","E36007662",370,190,185
"Churchill","E36007663",230,130,105
"Harrow Road","E36007664",315,180,140
"Hyde Park","E36007665",120,70,50
"Knightsbridge and Belgravia","E36007666",15,10,5
"Lancaster Gate","E36007667",185,105,75
"Little Venice","E36007668",125,75,55
"Maida Vale","E36007669",175,100,75
"Marylebone High Street","E36007670",60,30,30
"Queen's Park","E36007671",345,200,145
"Regent's Park","E36007672",125,60,70
"St James's","E36007673",315,200,115
"Tachbrook","E36007674",135,75,60
"Vincent Square","E36007675",255,135,120
"Warwick","E36007676",180,105,75
"West End","E36007677",155,90,65
"Westbourne","E36007678",335,180,155
"Abbey","E36007055",400,205,195
"Alibon","E36007056",315,135,180
"Becontree","E36007057",405,200,205
"Chadwell Heath","E36007058",265,115,150
"Eastbrook","E36007059",300,175,125
"Eastbury","E36007060",295,150,145
"Gascoigne","E36007061",325,160,170
"Goresbrook","E36007062",295,145,150
"Heath","E36007063",360,185,180
"Longbridge","E36007064",180,90,85
"Mayesbrook","E36007065",280,140,145
"Parsloes","E36007066",280,145,130
"River","E36007067",280,140,145
"Thames","E36007068",425,215,210
"Valence","E36007069",275,130,145
"Village","E36007070",325,160,165
"Whalebone","E36007071",240,130,110
"Brunswick Park","E36007072",175,100,75
"Burnt Oak","E36007073",405,205,200
"Childs Hill","E36007074",395,240,150
"Colindale","E36007075",540,275,265
"Coppetts","E36007076",265,145,120
"East Barnet","E36007077",280,135,140
"East Finchley","E36007078",240,130,110
"Edgware","E36007079",220,110,105
"Finchley Church End","E36007080",200,110,90
"Garden Suburb","E36007081",130,80,50
"Golders Green","E36007082",415,250,165
"Hale","E36007083",230,120,110
"Hendon","E36007084",385,245,140
"High Barnet","E36007085",200,110,90
"Mill Hill","E36007086",235,125,110
"Oakleigh","E36007087",225,125,100
"Totteridge","E36007088",140,75,65
"Underhill","E36007089",270,140,130
"West Finchley","E36007090",255,140,115
"West Hendon","E36007091",345,200,145
"Woodhouse","E36007092",330,175,150
"Barnehurst","E36007093",115,60,55
"Belvedere","E36007094",270,160,110
"Blackfen and Lamorbey","E36007095",55,35,15
"Blendon and Penhill","E36007096",75,30,45
"Brampton","E36007097",60,30,30
"Christchurch","E36007098",145,90,55
"Colyers","E36007099",195,115,80
"Cray Meadows","E36007100",165,85,75
"Crayford","E36007101",170,90,75
"Danson Park","E36007102",120,75,45
"East Wickham","E36007103",115,55,55
"Erith","E36007104",325,185,140
"Falconwood and Welling","E36007105",65,40,25
"Lesnes Abbey","E36007106",155,75,80
"Longlands","E36007107",80,35,40
"North End","E36007108",300,170,130
"Northumberland Heath","E36007109",155,90,65
"Sidcup","E36007110",80,45,35
"St Mary's","E36007111",60,40,20
"St Michael's","E36007112",95,50,40
"Thamesmead East","E36007113",345,175,170
"Alperton","E36007114",200,110,90
"Barnhill","E36007115",310,170,140
"Brondesbury Park","E36007116",235,130,100
"Dollis Hill","E36007117",370,220,150
"Dudden Hill","E36007118",360,200,160
"Fryent","E36007119",205,115,90
"Harlesden","E36007120",705,415,290
"Kensal Green","E36007121",490,300,190
"Kenton","E36007122",90,45,40
"Kilburn","E36007123",515,310,205
"Mapesbury","E36007124",390,260,130
"Northwick Park","E36007125",140,95,50
"Preston","E36007126",205,120,85
"Queens Park","E36007127",265,145,120
"Queensbury","E36007128",235,130,105
"Stonebridge","E36007129",745,415,330
"Sudbury","E36007130",255,145,110
"Tokyngton","E36007131",240,155,85
"Welsh Harp","E36007132",315,175,140
"Wembley Central","E36007133",215,130,90
"Willesden Green","E36007134",455,265,190
"Bickley","E36007135",115,70,45
"Biggin Hill","E36007136",95,50,45
"Bromley Common and Keston","E36007137",190,95,95
"Bromley Town","E36007138",250,150,100
"Chelsfield and Pratts Bottom","E36007139",75,40,35
"Chislehurst","E36007140",110,65,45
"Clock House","E36007141",215,130,85
"Copers Cope","E36007142",210,120,90
"Cray Valley East","E36007143",300,155,145
"Cray Valley West","E36007144",375,200,170
"Crystal Palace","E36007145",385,200,185
"Darwin","E36007146",35,25,10
"Farnborough and Crofton","E36007147",105,50,55
"Hayes and Coney Hall","E36007148",110,60,50
"Kelsey and Eden Park","E36007149",145,80,65
"Mottingham and Chislehurst North","E36007150",215,90,130
"Orpington","E36007151",220,130,90
"Penge and Cator","E36007152",400,220,180
"Petts Wood and Knoll","E36007153",60,30,30
"Plaistow and Sundridge","E36007154",240,120,120
"Shortlands","E36007155",70,45,30
"West Wickham","E36007156",85,50,35
"Addiscombe","E36007175",495,290,200
"Ashburton","E36007176",355,190,165
"Bensham Manor","E36007177",610,360,250
"Broad Green","E36007178",820,435,385
"Coulsdon East","E36007179",145,70,75
"Coulsdon West","E36007180",175,90,85
"Croham","E36007181",325,170,155
"Fairfield","E36007182",725,405,320
"Fieldway","E36007183",470,215,255
"Heathfield","E36007184",285,150,135
"Kenley","E36007185",235,115,115
"New Addington","E36007186",350,185,170
"Norbury","E36007187",360,205,150
"Purley","E36007188",255,130,125
"Sanderstead","E36007189",110,55,55
"Selhurst","E36007190",820,435,385
"Selsdon and Ballards","E36007191",95,45,50
"Shirley","E36007192",265,115,150
"South Norwood","E36007193",635,325,310
"Thornton Heath","E36007194",740,435,305
"Upper Norwood","E36007195",450,245,205
"Waddon","E36007196",590,295,290
"West Thornton","E36007197",720,380,340
"Woodside","E36007198",595,315,285
"Acton Central","E36007199",430,270,160
"Cleveland","E36007200",335,175,165
"Dormers Wells","E36007201",320,175,145
"Ealing Broadway","E36007202",320,200,120
"Ealing Common","E36007203",300,185,120
"East Acton","E36007204",560,325,235
"Elthorne","E36007205",410,225,185
"Greenford Broadway","E36007206",405,225,185
"Greenford Green","E36007207",215,110,100
"Hanger Hill","E36007208",260,150,110
"Hobbayne","E36007209",355,200,155
"Lady Margaret","E36007210",245,140,105
"North Greenford","E36007211",190,110,85
"Northfield","E36007212",150,85,65
"Northolt Mandeville","E36007213",385,200,185
"Northolt West End","E36007214",415,215,200
"Norwood Green","E36007215",395,220,175
"Perivale","E36007216",365,230,130
"South Acton","E36007217",390,245,145
"Southall Broadway","E36007218",350,225,125
"Southall Green","E36007219",390,215,175
"Southfield","E36007220",200,105,95
"Walpole","E36007221",215,140,75
"Bowes","E36007222",295,165,130
"Bush Hill Park","E36007223",170,95,75
"Chase","E36007224",300,145,155
"Cockfosters","E36007225",160,85,75
"Edmonton Green","E36007226",690,375,315
"Enfield Highway","E36007227",490,265,225
"Enfield Lock","E36007228",525,230,295
"Grange","E36007229",160,90,70
"Haselbury","E36007230",455,240,215
"Highlands","E36007231",175,105,70
"Jubilee","E36007232",425,215,210
"Lower Edmonton","E36007233",540,290,250
"Palmers Green","E36007234",240,145,95
"Ponders End","E36007235",490,260,235
"Southbury","E36007236",395,220,175
"Southgate","E36007237",195,100,95
"Southgate Green","E36007238",230,135,95
"Town","E36007239",195,100,95
"Turkey Street","E36007240",420,205,215
"Upper Edmonton","E36007241",535,285,250
"Winchmore Hill","E36007242",160,90,70
"Abbey Wood","E36007243",395,200,195
"Blackheath Westcombe","E36007244",160,85,75
"Charlton","E36007245",330,180,150
"Coldharbour and New Eltham","E36007246",200,110,90
"Eltham North","E36007247",140,75,65
"Eltham South","E36007248",195,105,90
"Eltham West","E36007249",245,125,120
"Glyndon","E36007250",525,290,235
"Greenwich West","E36007251",380,195,185
"Kidbrooke with Hornfair","E36007252",335,180,155
"Middle Park and Sutcliffe","E36007253",260,135,125
"Peninsula","E36007254",325,155,170
"Plumstead","E36007255",485,285,200
"Shooters Hill","E36007256",260,160,100
"Thamesmead Moorings","E36007257",555,290,265
"Woolwich Common","E36007258",555,305,250
"Woolwich Riverside","E36007259",545,300,245
"Belmont","E36007314",95,55,40
"Canons","E36007315",140,75,65
"Edgware","E36007316",150,75,75
"Greenhill","E36007317",320,175,145
"Harrow on the Hill","E36007318",185,100,85
"Harrow Weald","E36007319",160,90,70
"Hatch End","E36007320",90,45,40
"Headstone North","E36007321",80,40,45
"Headstone South","E36007322",150,80,70
"Kenton East","E36007323",125,70,55
"Kenton West","E36007324",105,50,55
"Marlborough","E36007325",225,135,95
"Pinner","E36007326",115,55,65
"Pinner South","E36007327",70,30,40
"Queensbury","E36007328",110,60,45
"Rayners Lane","E36007329",110,55,55
"Roxbourne","E36007330",250,120,130
"Roxeth","E36007331",160,85,75
"Stanmore Park","E36007332",145,85,60
"Wealdstone","E36007333",245,130,115
"West Harrow","E36007334",145,75,65
"Brooklands","E36007335",345,175,165
"Cranham","E36007336",90,55,35
"Elm Park","E36007337",185,90,100
"Emerson Park","E36007338",85,45,40
"Gooshays","E36007339",465,230,230
"Hacton","E36007340",110,60,50
"Harold Wood","E36007341",215,130,85
"Havering Park","E36007342",295,150,145
"Heaton","E36007343",360,185,175
"Hylands","E36007344",135,70,60
"Mawneys","E36007345",205,115,90
"Pettits","E36007346",110,70,40
"Rainham and Wennington","E36007347",255,135,120
"Romford Town","E36007348",350,205,145
"South Hornchurch","E36007349",310,170,140
"Squirrel's Heath","E36007350",140,65,75
"St Andrew's","E36007351",130,70,60
"Upminster","E36007352",75,50,25
"Barnhill","E36007353",295,165,130
"Botwell","E36007354",350,195,155
"Brunel","E36007355",200,110,95
"Cavendish","E36007356",95,45,50
"Charville","E36007357",185,100,90
"Eastcote and East Ruislip","E36007358",105,60,45
"Harefield","E36007359",80,45,30
"Heathrow Villages","E36007360",215,120,100
"Hillingdon East","E36007361",160,85,75
"Ickenham","E36007362",40,25,15
"Manor","E36007363",65,35,30
"Northwood","E36007364",120,65,55
"Northwood Hills","E36007365",135,65,70
"Pinkwell","E36007366",310,160,150
"South Ruislip","E36007367",120,65,55
"Townfield","E36007368",325,175,155
"Uxbridge North","E36007369",155,85,65
"Uxbridge South","E36007370",260,155,105
"West Drayton","E36007371",305,160,145
"West Ruislip","E36007372",105,60,45
"Yeading","E36007373",325,170,155
"Yiewsley","E36007374",275,135,140
"Bedfont","E36007375",305,145,160
"Brentford","E36007376",450,240,210
"Chiswick Homefields","E36007377",120,70,50
"Chiswick Riverside","E36007378",160,90,70
"Cranford","E36007379",345,180,165
"Feltham North","E36007380",265,140,125
"Feltham West","E36007381",405,195,205
"Hanworth","E36007382",425,215,210
"Hanworth Park","E36007383",245,135,110
"Heston Central","E36007384",325,170,160
"Heston East","E36007385",350,185,165
"Heston West","E36007386",385,195,190
"Hounslow Central","E36007387",450,255,195
"Hounslow Heath","E36007388",465,260,205
"Hounslow South","E36007389",195,115,80
"Hounslow West","E36007390",320,165,155
"Isleworth","E36007391",310,145,160
"Osterley and Spring Grove","E36007392",235,125,110
"Syon","E36007393",340,165,170
"Turnham Green","E36007394",155,60,95
"Alexandra","E36007429",95,50,45
"Berrylands","E36007430",110,65,40
"Beverley","E36007431",160,85,70
"Canbury","E36007432",165,90,75
"Chessington North and Hook","E36007433",105,60,45
"Chessington South","E36007434",130,65,65
"Coombe Hill","E36007435",90,50,35
