"Ward","Code","Total","Male","Female","wards","Age","Aged 18-24"
"Macclesfield Central","E36001217",25,20,5
"Macclesfield East","E36001218",10,5,5
"Macclesfield Hurdsfield","E36001219",15,10,5
"Macclesfield South","E36001220",30,20,10
"Macclesfield Tytherington","E36001221",10,5,5
"Macclesfield West and Ivy","E36001222",20,15,10
"Middlewich","E36001223",30,15,15
"Mobberley","E36001224",5,5,0
"Nantwich North and West","E36001225",25,10,15
"Nantwich South and Stapeley","E36001226",15,10,5
"Odd Rode","E36001227",10,5,5
"Poynton East and Pott Shrigley","E36001228",5,5,0
"Poynton West and Adlington","E36001229",5,5,0
"Prestbury","E36001230",0,0,0
"Sandbach Elworth","E36001231",10,5,5
"Sandbach Ettiley Heath and Wheelock","E36001232",10,0,5
"Sandbach Heath and East","E36001233",5,5,0
"Sandbach Town","E36001234",5,5,0
"Shavington","E36001235",10,5,5
"Sutton","E36001236",5,0,0
"Willaston and Rope","E36001237",5,0,0
"Wilmslow Dean Row","E36001238",0,0,0
"Wilmslow East","E36001239",0,0,0
"Wilmslow Lacey Green","E36001240",5,0,5
"Wilmslow West and Chorley","E36001241",5,0,5
"Wistaston","E36001242",5,0,5
"Wrenbury","E36001243",5,5,0
"Wybunbury","E36001244",5,0,5
"Blacon","E36001245",125,90,40
"Boughton","E36001246",20,15,10
"Chester City","E36001247",15,10,5
"Chester Villages","E36001248",15,10,5
"Davenham and Moulton","E36001249",15,5,10
"Dodleston and Huntington","E36001250",5,5,0
"Ellesmere Port Town","E36001251",90,55,35
"Elton","E36001252",10,5,5
"Farndon","E36001253",5,0,5
"Frodsham","E36001254",15,10,5
"Garden Quarter","E36001255",25,15,10
"Gowy","E36001256",0,0,0
"Grange","E36001257",45,25,15
"Great Boughton","E36001258",10,5,5
"Handbridge Park","E36001259",10,5,5
"Hartford and Greenbank","E36001260",20,15,10
"Helsby","E36001261",5,5,0
"Hoole","E36001262",30,20,10
"Kingsley","E36001263",0,0,0
"Lache","E36001264",30,20,10
"Ledsham and Manor","E36001265",5,5,0
"Little Neston and Burton","E36001266",10,5,0
"Malpas","E36001267",5,0,0
"Marbury","E36001268",20,10,10
"Neston","E36001269",15,10,5
"Netherpool","E36001270",25,15,10
"Newton","E36001271",25,15,10
"Parkgate","E36001272",0,0,0
"Rossmore","E36001273",35,25,10
"Saughall and Mollington","E36001274",5,0,5
"Shakerley","E36001275",10,5,5
"St Paul's","E36001276",35,20,10
"Strawberry","E36001277",5,0,0
"Sutton","E36001278",30,20,10
"Tarporley","E36001279",0,0,0
"Tarvin and Kelsall","E36001280",5,5,5
